scene_id,role,path,device_or_medium,render_mode,text_render_mode,source_or_origin,sha256,width,height,status
SCENE-001,hero,assets/generated_ai/scene_001.png,ImageGen,gpt_image,imagegen_native,ImageGen retry-1; exact text QA PASS; generic non-character merchandise,fb1d8cdda0264e67c96a597a5835aeef4b149833cd5b94b85560422cd692a401,1920,1080,approved_for_draft_v2
SCENE-002,official_news,assets/official/crop/official_kurasushi_sns_20260902.png,PCブラウザ/公式PDF,template,pil_overlay,SRC-002; official crop,bf9722eb7ab8a20fd8a77fc3e588ba4541e336494b63084ac2d4c2edeec29b85,1200,668,approved_for_draft_v2
SCENE-003,official_news,assets/official/crop/official_kurasushi_cancel_20260905_v2.png,PCブラウザ/公式PDF,template,pil_overlay,SRC-001; official crop,c68b7efbe248922fbede7894a64ffa78682f252d8468abb197df70103f2c3715,1200,760,approved_for_draft_v2
SCENE-004,news_boundary,work/rendered_final_scenes_v2/scene_004.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,04383b1b99e48a8867312b3fdc2078761852d0a43e179f4b22044402620682e2,1920,1080,rendered_v2
SCENE-005,fictional_example,assets/generated_ai/scene_005.png,ImageGen,gpt_image,imagegen_native,ImageGen-native v2 completed image; exact text QA PASS; generic non-character merchandise,9d9468204584228e986fcc1303b49f85cb43532c54953299c333802c423a8fa1,1920,1080,approved_for_draft_v2
SCENE-006,checklist,work/rendered_final_scenes_v2/scene_006.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,2cae47efa977e542b1ce4f4a20072f2770ad0c93d2efcb972d96e8ab23702a75,1920,1080,rendered_v2
SCENE-007,section,work/rendered_final_scenes_v2/scene_007.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,5b257e63c565da203f3bb6abcbad7f21439a1efc4877e1a556e6e1ed49428c4c,1920,1080,rendered_v2
SCENE-008,check_1,work/rendered_final_scenes_v2/scene_008.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,fb32c98afa0b88571397016c9a947cc288123e08189a433d8a24436b635e197e,1920,1080,rendered_v2
SCENE-009,section,work/rendered_final_scenes_v2/scene_009.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,fc25f2b03f336cfe7c7cad73bf3834cbda5a3b20e89b3db570e7ed8b98240a1a,1920,1080,rendered_v2
SCENE-010,official_flea_fake,assets/official/crop/official_kokusen_fake_20250902.png,PCブラウザ/公式PDF,template,pil_overlay,SRC-004; official crop,5a4dcee68549486d15bfd98e56c6f0bb12ab04ae1da57400487055b39f3ba185,1200,722,approved_for_draft_v2
SCENE-011,check_2,work/rendered_final_scenes_v2/scene_011.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,5fe220900131d857e3d665640bca2c591180b77f347c6cffec998ef83de520cf,1920,1080,rendered_v2
SCENE-012,section,work/rendered_final_scenes_v2/scene_012.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,322b5e8fd187b103d22d47842253bc9ac2ba13c09e22233cc600a395746bbb74,1920,1080,rendered_v2
SCENE-013,check_3,work/rendered_final_scenes_v2/scene_013.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,daa635f8c6afce3cdecb6d20d58af46d7ad15175ee013c202ae8e922740c1f27,1920,1080,rendered_v2
SCENE-014,section,work/rendered_final_scenes_v2/scene_014.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,8cb01746b39a199164e0ab8ec20a29e94c7ff3d168204be835b35f8b3f4707bd,1920,1080,rendered_v2
SCENE-015,official_receipt,assets/official/crop/official_kokusen_receipt_20260305.png,PCブラウザ/公式PDF,template,pil_overlay,SRC-005/SRC-006; official crop,5f9d42bfaa6dab9669df76ab4ae5632f47e08ef410318f95ad9bb0cf03d65d9f,1130,760,approved_for_draft_v2
SCENE-016,section,work/rendered_final_scenes_v2/scene_016.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,7d99f965ce2fcee4de6117158bf1ea7cceecf9cc9a189062df7dfe235ca0dbf3,1920,1080,rendered_v2
SCENE-017,consultation,work/rendered_final_scenes_v2/scene_017.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,db5c3b0bad64f8f20e49f26b3f8e1d8cd901cf667f140f1fafb2380a42c98c0c,1920,1080,rendered_v2
SCENE-018,summary,work/rendered_final_scenes_v2/scene_018.png,template,template,pil_overlay,shared adult_digital_soft_image_bg,5746eb6701aa5cf7e06129f6ce8be5d5039539a350dbcefa5bbba2609253022c,1920,1080,rendered_v2
POSTROLL-CTA,approved_cta,work/cta_registration_conversion_v1.png,copy-only reuse,channel_cta,reused,Episode012 approved CTA; no fake subscribe UI,96efb5195cd7f3d7121472a79f300af19999108186d6b35c370efa488185eae0,1920,1080,approved_reuse
POSTROLL-AUDIO,approved_cta_audio,audio/voicevox_kenzaki/cta_registration_conversion_v1.wav,copy-only reuse,channel_cta,reused,Episode012 approved CTA audio; 11.456 sec,1d21f765f5606310ca08bc0264ec6ed0136f68f5a7da07318b5018f1735fdbc9,,,approved_reuse
