channel,subscribers_observed,format,winning_angles,example,source
スマホのコンシェルジュ,581000,長尺/実機,危険設定・変更,Chrome危険設定/Google設定,https://db.bitstar.tokyo/youtube/UCd0lXfZHpNsfLtOBPWHkV8g?content=posts
埼玉スマホ教室,521000,長尺/実演,違い・誤解・LINE,Google vs Chrome,https://digitalcreators.jp/channel/ja/UCKeSbR4kQK4RAPsrLVKJjCQ/
ゆきえのスマホ塾,165000,中高年向け,個人情報・容量・乗っ取り,LINE個人情報,https://www.youtube.com/@yukie_smartphone
まいの安心スマホ教室,30400,安心/危険設定,家族・LINE・高額請求,LINE誤操作,https://db.bitstar.tokyo/youtube/UCiTFHLNaMA9jZKyyHT7TRjw?content=posts
吉祥寺スマホスクール,194000,初心者How-to,自己診断・基礎,スマホのマーク,https://digitalcreators.jp/channel/ja/UC4V6nX77AYklcVdMIHotOyQ/
ひろっさんチャンネル,124000,中高年向け,危険設定・Google Maps,iPhone危険設定,https://yutura.net/channel/140516/
あっちゃん教えて,56600,iPhone/Google,容量・AIデータ,ストレージ整理,https://digitalcreators.jp/channel/UCds0nELWhAGEyQ93vsaeCAA/
スマホ超入門！,17800,初心者How-to,イベント・日常用途,WBCをスマホで見る,https://yutura.net/channel/93400/
いっしょに学ぶスマホ塾,16300,具体機能,驚き用途,iPhoneで証拠,https://digitalcreators.jp/channel/UCyz5xq1mYBls-wNnfI1Itcw/videos/
モバイルドットコムTV,175000,端末レビュー,危険設定,Android危険設定,https://digitalcreators.jp/channel/ja/UC-gVzqx-OqiA7YMx4yRkY8g/
