filename,source_url,source_title,organization,captured_or_downloaded_at,intended_use,copyright_or_usage_note,status
presskit_20260818.zip,https://services.digital.go.jp/mynaapp/communication-guidelines/,マイナアプリ 広報素材およびガイドライン（素材一式ZIP・2026-08-18更新）,デジタル庁,2026-08-30,master source（素材の原本・抽出元）,_source/ に展開済み。本ファイル自体は動画素材にしない,ok
official_icon_rounded_3x.png,https://services.digital.go.jp/mynaapp/communication-guidelines/,マイナアプリ 広報素材およびガイドライン（App-Icon 3x Rounded Filled）,デジタル庁,2026-08-30,SHOT-01・SHOT-03・SHOT-09（新アイコンの表示）＋サムネ候補,公式広報素材。ガイドライン（保護エリア・角丸・呼称表記）に従い出典表記して使用,ok
official_icon_limited_3x.png,https://services.digital.go.jp/mynaapp/communication-guidelines/,マイナアプリ 広報素材およびガイドライン（期間限定アイコン 3x Rounded Filled）,デジタル庁,2026-08-30,SHOT-03（期間限定アイコンの説明）,公式広報素材。上に同じ,ok
myna_app_icon_apple.png,https://apps.apple.com/jp/app/マイナアプリ-旧マイナポータルアプリ/id1476359069,App Store「マイナアプリ（旧マイナポータルアプリ）」（iTunes Search API artwork）,Apple / Digital Agency of Japan,2026-08-30,SHOT-09（ストア掲載アイコンの確認）※参考,App Store掲載画像。商用動画での利用はAppleガイドライン要確認。本編採用前に人間確認,needs_review
myna_app_icon_gplay.png,https://play.google.com/store/apps/details?id=jp.go.cas.mpa,Google Play「マイナアプリ（旧マイナポータルアプリ）」（og:image）,Google / デジタル庁,2026-08-30,SHOT-09（ストア掲載アイコンの確認）※参考,Google Play掲載画像。利用条件を人間確認するまで本編に使わない,needs_review
digital_auth_app_icon_apple.png,https://apps.apple.com/jp/app/デジタル認証アプリ/id6454900894,App Store「デジタル認証アプリ」（iTunes Search API artwork）,Apple / Digital Agency of Japan,2026-08-30,SHOT-03（統合前アプリの説明）※参考,提供終了済みアプリのアイコン。説明用途としてデジタル庁公式情報の範囲。採用前に人間確認,needs_review
old_myna_portal_app_icon_crop.png,https://services.digital.go.jp/mynaapp/communication-guidelines/,マイナアプリ 広報素材およびガイドライン（移行案内バナー画像からの切り出し）,デジタル庁（加工: 弊局）,2026-08-30,SHOT-03（旧マイナポータルアプリアイコンの比較表示）,公式バナーから切り出した加工品。マイナちゃんロゴの利用はデジタル庁の定めに従う（https://www.digital.go.jp/policies/mynumber_logo）。切り出し品質・利用可否を人間確認,needs_review
banner_icon_transition.png,https://services.digital.go.jp/mynaapp/communication-guidelines/,マイナアプリ 広報素材およびガイドライン（「マイナポータルアプリはマイナアプリになりました」バナーのアイコン行）,デジタル庁（加工: 弊局）,2026-08-30,SHOT-03（新旧アイコン比較・2カラム代替）※メイン候補,公式広報バナーからの切り出し。ガイドラインに従い出典表記。加工／使用を人間確認,needs_review
new_myna_app_icon_from_banner.png,https://services.digital.go.jp/mynaapp/communication-guidelines/,マイナアプリ 広報素材およびガイドライン（バナー画像の切り出し）,デジタル庁（加工: 弊局）,2026-08-30,不使用（切り出し試行の旧版。official_icon_limited_3x.png を使用）,上に同じ,deprecated
official_guide_banner_old_to_new.png,https://services.digital.go.jp/mynaapp/communication-guidelines/,マイナアプリ 広報素材およびガイドライン（移行案内バナー画像）,デジタル庁,2026-08-30,SHOT-03（元画像・全体表示2〜4秒、または画面収録時の参考）,公式広報素材。ガイドライン遵守・出典表記,ok
