asset_id,type,path,scene_id,source_or_prompt,dimensions,sha256_prefix,pii_status,status,notes
BG-001,background,assets/backgrounds/adult_digital_soft_v2.png,,config/visual_theme.json,1920x1080,ca08d55d445f01b4,none,PASS,共通image background。元ファイルは保持。
RAW-001,imagegen_raw,work/imagegen_raw/scene_001_source.png,SCENE-001,IMG-010-001,1672x941,8c4832b42da07831,none,ARCHIVED,生成原画。正規化copyをsceneで使用。
RAW-017,imagegen_raw,work/imagegen_raw/scene_017_source.png,SCENE-017,IMG-010-017,1672x941,a3236341bfe54cfc,none,ARCHIVED,生成原画。文字・UIなし。
RAW-020,imagegen_raw,work/imagegen_raw/scene_020_source.png,SCENE-020,IMG-010-020,1672x941,747986856c93b7bf,none,ARCHIVED,生成原画。正規化copyをsceneで使用。
IMG-001,imagegen,assets/generated_ai/scene_001.png,SCENE-001,IMG-010-001,1920x1080,0f1aa9d61d173f3b,none,PASS,ImageGen native。指定見出しを目視確認。
IMG-017,imagegen,assets/generated_ai/scene_017.png,SCENE-017,IMG-010-017,1920x1080,760245eb6c1e9a23,none,PASS,no_text。動作概念のみ。
IMG-020,imagegen,assets/generated_ai/scene_020.png,SCENE-020,IMG-010-020,1920x1080,9a4f6db501c654dc,none,PASS,ImageGen native。指定見出しを目視確認。
OFF-001,official,assets/official/official_screen_register_start.png,SCENE-007,SRC-002,342x587,fa8c8b7864fa2609,PII-free,PASS,デジタル庁公式原画。sceneでfocus crop。
OFF-002,official,assets/official/official_screen_register_agreement.png,SCENE-009,SRC-002,280x587,f30e1e99ba2e88cd,PII-free,PASS,内容は通知設定画面。管理上の旧ファイル名。
OFF-003,official,assets/official/official_screen_register_device_lock.png,SCENE-011,SRC-002,280x587,9f148a636483817b,PII-free,PASS,デジタル庁公式原画。sceneでfocus crop。
OFF-004,official,assets/official/official_register_card_passcode_crop.png,SCENE-015,SRC-005,288x587,22e1178b7ea0c66b,PII-free,PASS,公式原画の暗証番号入力画面crop。
OFF-005,official,assets/official/official_register_card_read_crop.png,SCENE-016,SRC-004,288x587,a164defbf9e46cb1,PII-free,PASS,公式原画の読み取り画面crop。
OFF-006,official,assets/official/official_screen_register_biometric.png,SCENE-018,SRC-006,280x587,50dd9d88a772fdef,PII-free,PASS,デジタル庁公式原画。sceneでfocus crop。
OFF-007,official_reference,assets/official/official_screen_register_card_auth.png,,SRC-003,576x587,0d9de09d00d13929,PII-free,REFERENCE_ONLY,sceneでは未使用。原画保管。
TMPL-002,template,assets/generated_template/scene_002.png,SCENE-002,hybrid_scene_renderer,1920x1080,356f03705a366f64,none,PASS,common background適用。
TMPL-003,template,assets/generated_template/scene_003.png,SCENE-003,hybrid_scene_renderer,1920x1080,a51336ae38b2c1c0,none,PASS,common background適用。
TMPL-004,template,assets/generated_template/scene_004.png,SCENE-004,hybrid_scene_renderer,1920x1080,9a259e0870ab0d70,none,PASS,section scene。
TMPL-005,template,assets/generated_template/scene_005.png,SCENE-005,hybrid_scene_renderer,1920x1080,ef775fbe563a0675,none,PASS,common background適用。
TMPL-006,template,assets/generated_template/scene_006.png,SCENE-006,hybrid_scene_renderer,1920x1080,fb264c9baf628e67,none,PASS,section scene。
TMPL-008,template,assets/generated_template/scene_008.png,SCENE-008,hybrid_scene_renderer,1920x1080,d7f4e52cf91af462,none,PASS,section scene。
TMPL-010,template,assets/generated_template/scene_010.png,SCENE-010,hybrid_scene_renderer,1920x1080,af127adffa373fd0,none,PASS,section scene。
TMPL-012,template,assets/generated_template/scene_012.png,SCENE-012,hybrid_scene_renderer,1920x1080,43ebefdf1205fa9e,none,PASS,条件比較を後半へ移動。
TMPL-013,template,assets/generated_template/scene_013.png,SCENE-013,hybrid_scene_renderer,1920x1080,3dbeec404494781a,none,PASS,本人認証3ルートのlist。
TMPL-014,template,assets/generated_template/scene_014.png,SCENE-014,hybrid_scene_renderer,1920x1080,7ffda4a117227564,none,PASS,section scene。
TMPL-019,template,assets/generated_template/scene_019.png,SCENE-019,hybrid_scene_renderer,1920x1080,096d5ec2985a1236,none,PASS,summary scene。
RENDER-001,rendered_scene,assets/scenes/scene_001.png,SCENE-001,hybrid_scene_renderer,1920x1080,0f1aa9d61d173f3b,none,PASS,contact sheet v2対象。
RENDER-002,rendered_scene,assets/scenes/scene_002.png,SCENE-002,hybrid_scene_renderer,1920x1080,356f03705a366f64,none,PASS,contact sheet v2対象。
RENDER-003,rendered_scene,assets/scenes/scene_003.png,SCENE-003,hybrid_scene_renderer,1920x1080,a51336ae38b2c1c0,none,PASS,contact sheet v2対象。
RENDER-004,rendered_scene,assets/scenes/scene_004.png,SCENE-004,hybrid_scene_renderer,1920x1080,9a259e0870ab0d70,none,PASS,1 / 6開始。
RENDER-005,rendered_scene,assets/scenes/scene_005.png,SCENE-005,hybrid_scene_renderer,1920x1080,ef775fbe563a0675,none,PASS,最初の実操作。
RENDER-006,rendered_scene,assets/scenes/scene_006.png,SCENE-006,hybrid_scene_renderer,1920x1080,fb264c9baf628e67,none,PASS,contact sheet v2対象。
RENDER-007,rendered_scene,assets/scenes/scene_007.png,SCENE-007,hybrid_scene_renderer,1920x1080,fef938fad5f88ec9,none,PASS,公式cropを使用。
RENDER-008,rendered_scene,assets/scenes/scene_008.png,SCENE-008,hybrid_scene_renderer,1920x1080,d7f4e52cf91af462,none,PASS,contact sheet v2対象。
RENDER-009,rendered_scene,assets/scenes/scene_009.png,SCENE-009,hybrid_scene_renderer,1920x1080,449fd211ce773e61,none,PASS,公式cropを使用。
RENDER-010,rendered_scene,assets/scenes/scene_010.png,SCENE-010,hybrid_scene_renderer,1920x1080,af127adffa373fd0,none,PASS,contact sheet v2対象。
RENDER-011,rendered_scene,assets/scenes/scene_011.png,SCENE-011,hybrid_scene_renderer,1920x1080,118eeddc58877fb4,none,PASS,公式cropを使用。
RENDER-012,rendered_scene,assets/scenes/scene_012.png,SCENE-012,hybrid_scene_renderer,1920x1080,43ebefdf1205fa9e,none,PASS,条件補足。
RENDER-013,rendered_scene,assets/scenes/scene_013.png,SCENE-013,hybrid_scene_renderer,1920x1080,3dbeec404494781a,none,PASS,本人認証3ルート。
RENDER-014,rendered_scene,assets/scenes/scene_014.png,SCENE-014,hybrid_scene_renderer,1920x1080,7ffda4a117227564,none,PASS,section scene。
