shot_id,filename,use,notes,status,source_url,organization,captured_at,intended_scene,crop_note
IMG-001,assets/generated_ai/scene_001.png,オープニング（その投資広告、本物？）,imagegen_native・実在人物を描かない・exact text QA必須。,pending,imagegen_native,--,2026-09-05,SCENE-001,full_bleed 1920x1080
IMG-002,assets/generated_ai/scene_004.png,1/3セクション扉（広告の有名人を、そのまま信用しない）,imagegen_native・1/3 pillはCodex overlay。,pending,imagegen_native,--,2026-09-05,SCENE-004,full_bleed 1920x1080
IMG-003,assets/generated_ai/scene_006.png,なりすまし広告の概念（本人がすすめているとは限らない）,imagegen_native・顔はシルエット・実在人物を想起させない。,pending,imagegen_native,--,2026-09-05,SCENE-006,full_bleed 1920x1080
IMG-004,assets/generated_ai/scene_008.png,2/3セクション扉（LINEに誘導されたら、一度止まる）,imagegen_native・2/3 pillはCodex overlay。,pending,imagegen_native,--,2026-09-05,SCENE-008,full_bleed 1920x1080
IMG-005,assets/generated_ai/scene_013.png,3/3セクション扉（送金する前に、登録と振込先を確認）,imagegen_native・3/3 pillはCodex overlay。,pending,imagegen_native,--,2026-09-05,SCENE-013,full_bleed 1920x1080
OFF-001,assets/official/search_fsa_capture.png,金融庁 金融事業者一括検索（登録確認画面）,draftではcaptureを追加せずテンプレートSCENE-014を採用。URLは説明欄へ。,deferred,https://search.fsa.go.jp/,金融庁,2026-09-05,SCENE-014,可読性優先・未取得
RENDER-002,work/rendered_final_scenes/scene_002.png,SCENE-002 テンプレート描画,,ready,--,--,2026-09-05,SCENE-002,1920x1080
RENDER-003,work/rendered_final_scenes/scene_003.png,SCENE-003 テンプレート描画,,ready,--,--,2026-09-05,SCENE-003,1920x1080
RENDER-005,work/rendered_final_scenes/scene_005.png,SCENE-005 テンプレート描画,,ready,--,--,2026-09-05,SCENE-005,1920x1080
RENDER-007,work/rendered_final_scenes/scene_007.png,SCENE-007 テンプレート描画,,ready,--,--,2026-09-05,SCENE-007,1920x1080
RENDER-009,work/rendered_final_scenes/scene_009.png,SCENE-009 テンプレート描画,,ready,--,--,2026-09-05,SCENE-009,1920x1080
RENDER-010,work/rendered_final_scenes/scene_010.png,SCENE-010 テンプレート描画,,ready,--,--,2026-09-05,SCENE-010,1920x1080
RENDER-011,work/rendered_final_scenes/scene_011.png,SCENE-011 テンプレート描画,,ready,--,--,2026-09-05,SCENE-011,1920x1080
RENDER-012,work/rendered_final_scenes/scene_012.png,SCENE-012 テンプレート描画,,ready,--,--,2026-09-05,SCENE-012,1920x1080
RENDER-014,work/rendered_final_scenes/scene_014.png,SCENE-014 テンプレート描画（出典: 金融庁）,,ready,--,--,2026-09-05,SCENE-014,1920x1080
RENDER-015,work/rendered_final_scenes/scene_015.png,SCENE-015 テンプレート描画（比較）,,ready,--,--,2026-09-05,SCENE-015,1920x1080
RENDER-016,work/rendered_final_scenes/scene_016.png,SCENE-016 テンプレート描画,,ready,--,--,2026-09-05,SCENE-016,1920x1080
RENDER-017,work/rendered_final_scenes/scene_017.png,SCENE-017 テンプレート描画,,ready,--,--,2026-09-05,SCENE-017,1920x1080
RENDER-018,work/rendered_final_scenes/scene_018.png,SCENE-018 テンプレート描画,,ready,--,--,2026-09-05,SCENE-018,1920x1080
BG-008-SRC,assets/background.png,ユーザー提供の共通背景（原本）,元画像は変更せず保存。v3のnormalized copyの入力。,ready,user-provided,--,2026-09-05,SCENE-002;003;005;007;009;010;011;012;014;015;016;017;018,1672x941 RGB
BG-008-NORM,../../assets/backgrounds/adult_digital_soft_v2.png,ユーザー提供背景（normalized）,cover＋LANCZOSで1920x1080。overlay decorationsなし。,ready,--,--,2026-09-05,SCENE-002;003;005;007;009;010;011;012;014;015;016;017;018,1920x1080 RGB
REVIEW-V3,work/visual_review/scene_contact_sheet_v3.png,Episode 008 Visual Gate v3 contact sheet,ユーザー提供背景版。native 5sceneは再生成なし。,review,--,--,2026-09-05,SCENE-ALL,1920x1080 thumbnails
REVIEW-BG-COMPARE,work/visual_review/background_before_after.png,Visual Gate v2/v3 背景比較,左=v2、右=ユーザー提供背景版。,review,--,--,2026-09-05,SCENE-002;005;007;009;012;015;017;018,background review
RENDER-V4,work/rendered_final_scenes_v4/,Episode 008 Visual Gate v4 template render,背景不変・section pill左上・中央軸x=960・常設チャンネル名削除。,ready,--,--,2026-09-05,SCENE-002;003;005;007;009;010;011;012;014;015;016;017;018,1920x1080 PNGs
RENDER-V5,work/rendered_final_scenes_v5/,Episode 008 Visual Gate v5 template render,上部semantic iconを可視グリフ中心で正規化・背景/section pill/既存レイアウト不変。,ready,--,--,2026-09-05,SCENE-002;003;005;007;009;010;011;012;014;015;016;017;018,1920x1080 PNGs
REVIEW-V4,work/visual_review/scene_contact_sheet_v4.png,Episode 008 Visual Gate v4 contact sheet,18scene・template13/native5・背景不変・人間Gate 2待ち。,review,--,--,2026-09-05,SCENE-ALL,1920x1080 thumbnails
