no,pillar,topic,working_title,primary_sources,target_minutes,status
1,守る,Google安全,"Googleアカウント、乗っ取られる前に見るべき5項目",Google公式,10,制作中
2,守る,LINE噂検証,"LINEの『青い日付で高額請求』は本当？公式情報と実機で検証",LINE公式/通信会社,9,未着手
3,整える,容量整理,"写真を消す前に。LINE・Chrome/Safariの安全な容量整理",Apple/Google/LINE,11,未着手
4,守る,詐欺電話,"国際電話・知らない番号・ニセ警察を家族で対策",警察庁/OS/通信会社,12,未着手
5,使う,行政アプリ,"マイナアプリ、何が変わった？何をすればいい？",デジタル庁,9,未着手
6,守る,位置情報,"Googleマップで自宅や行動履歴はどこまで見える？",Google公式,10,未着手
7,AI,AI安全,"ChatGPT・Geminiに入れてはいけない情報5つ",OpenAI/Google公式,11,未着手
8,整える,写真保護,"iCloudとGoogleフォト『同期とバックアップ』の違い",Apple/Google,12,未着手
9,整える,機種変更,"機種変更の前日にやること7つ",Apple/Google/LINE,13,未着手
10,守る,紛失,"スマホをなくしたら最初の10分でやること",Apple/Google/各サービス,10,未着手
11,使う,AI入門,"50代からのChatGPT超入門｜便利な3つ＋注意1つ",OpenAI公式,10,未着手
12,守る,保存版,"スマホ安心点検15分｜最低限これだけ",複数公式,15,未着手
